song_year,song_rank,singer,title,Genre,lyric,lyric_tokens
2001,1,브라운 아이즈,벌써 일년,R&B/Soul,"처음이라 그래 며칠뒤엔
괜찮아져
그 생각만으로 벌써 일년이
너와 만든 기념일마다
슬픔은 나를 찾아와
처음 사랑 고백하며
설렌 수줍음과
우리 처음 만난날 지나가고
너의 생일엔 눈물의 케이크
촛불 켜고서 축하해
I believe in you
I believe in your mind
벌써 일년이 지났지만
일년뒤에도 그 일년뒤에도
널 기다려
너무 보고싶어 돌아와줘
말 못했어
널 보는 따뜻한 그의 눈빛과
니 왼손에 껴진 반지보다
빛난 니 얼굴 때문에
I believe in you
I believe in your mind
다시 시작한 널 알면서
이젠 나없이 추억을 만드는
너라는걸
내가 기억하는 추억은 언제나
지난 웃음과 얘기와 바램들
또 새로 만들 추억은 하나뿐
내 기다림과 눈물 속 너일뿐
I believe in you
I believe in your mind
다시 시작한 널 알면서
이젠 나없이 추억을 만드는
너라는걸
I believe in you
I believe in your mind
벌써 일년이 지났지만
일년뒤에도 그 일년뒤에도
널 기다려",시작 생각만 고백 눈빛 눈물 일년 케이크 일년뒤 때문 왼손 웃음 축하 추억 기념일 너라는걸 수줍음 생일 사랑 며칠뒤 처음 만난날 바램들 뿐 기억 반지 얼굴 하나 따뜻한 이젠 촛불 얘
2001,2,포지션,I Love You,발라드,"I love you 사랑한다는 이 말 밖에는
해줄 말이 없네요
I love you 의미 없는 말이 되었지만
사랑해요
이제와서 무슨 소용 있겠어요
다신 볼 수 없는 이별인데
돌이킬 수 없는 걸 잘 알고 있지만
어떻게든 그댈 잡아 두고 싶은걸
Ooh ooh ooh
이 세상 아니라도 언젠가
우리 다시 만날텐데
눈물 한방울도 보여선 안되겠죠
사랑에 빠지게 만들었던
미소로 날 떠나요
그 미소 하나로
언제라도 그대를 찾아낼 수 있게
I love you 기억하나요 처음 그대에게
느낀 그 떨림
I love you 오랜 후에서야 내게 해준
그대 그 한마디
우리 사랑 안될거라 생각했죠
너무나도 아름다웠기에
돌아서려 했었던 내 앞의 그대는
꿈만같은 사랑으로 다가 왔었죠
Ooh ooh ooh
이 세상 아니라도 언젠가
우리 다시 만날텐데
눈물 한방울도 보여선 안되겠죠
사랑에 빠지게 만들었던
미소로 날 떠나요
그 미소 하나로 언제라도 그대를
찾아낼 수 있게
언젠가 우리 다시 만나면
약속 하나만 해요 이렇게 아프게
너무 쉽게 헤어질 사랑하진 마요",눈물 의미 싶은걸 소용 밖 미소 한방울 다 마요 사랑 후 생각 이별 세상 이제와서 하나 기억 언제 꿈만같은 약속 한마디
2001,3,김건모,미안해요,발라드,"그대는 나만의 여인이여
보고 또 보고 싶은 나만의 사랑
그대는 나만의 등불이여
어둡고 험한 세상 밝게 비춰주네요

그대여 지금껏 그 흔한 옷한벌 못해주고
어느새 거칠은 손한번 잡아주지 못했던
무심한 나를 용서할수 있나요
미안해요

이 못난 날 만나 얼마나 맘 고생 많았는지
그 고왔던 얼굴이 많이도 변했어요
내맘이 아파요

그대는 나만의 여인이여
아직도 못다한 말 그댈 사랑해요

그대의 생일날 따뜻한 밥 한번 못 사주고
그대가 좋아한 장미꽃 한송이조차
건네지 못했던 나를 용서할수 있나요
미안해요

사는게 힘들어 모든걸 버리고 싶었지만
그대의 뜨거운 눈물이 맘에 걸려
지금껏 살아요

그대는 나만의 여인이여
아직도 못다한 말 그댈 사랑해요",용서 생일날 눈물 손한번 고생 옷한벌 못다한 미안 장미꽃 여인이 무심 사랑 한번 세상 한송이 모든걸 밥 얼굴 따뜻한 등불이
2001,4,이기찬,또 한번 사랑은 가고,발라드,"울고 있는
내 모습이 이 젠
항상 나만
이러는게 이젠
너무 지겨워서
너무 한심해서
웃으며 보내보려고
해봤어
연습했던
그 멋진 표정도
준비했던
이별의 말들도
헤어지잔 너의
한마디 말 앞에
모두 잊어버린채
또 난 눈물만 흘렸어
난 이렇게
바라보고 있고
넌 그렇게
멀어져만 가고
또 내 눈엔
눈물이 흐르고
또 한번
사랑은 가고
멀어지는 모습
보는 일이
흐르는 눈물
감추는 일이
너무 익숙해서
많이 겪어봐서
이제 난 웃는 법까지
배웠어 음
사랑하고도
널 보냈듯이
헤어지고도
널 간직할게
다만 한가지
내가 정말 두려운 거는
다시는 맘을
열지 못할까봐 오
난 이렇게
바라보고 있고
넌 그렇게
멀어져만 가고
또 내 눈엔
눈물이 흐르고
또 한번
사랑은 가고
오 난 이렇게
바라보고 있고
넌 그렇게
멀어져만 가고
또 내눈엔
눈물이 흐르고
또 한번 사랑은 가고
또 한번 사랑은 가고",표정 눈물 헤어지잔 모습 눈 연습 오 채 한심해 내눈엔 일 법 음 들 한가지 간직할 준비 익숙 사랑 한번 젠 이별 이젠 못할까봐 이러는게 한마디
2001,5,왁스,화장을 고치고,발라드,"우연히 날 찾아와 사랑만 남기고 간 너

하루가 지나 몇 해가 흘러도

아무 소식도 없는데 세월에 변해버린

날 보면 실망할까봐 오늘도 나는

설레이는 맘으로 화장을 다시 고치곤해

아무것도 난 해준게 없어

받기만 했을뿐 그래서 미안해

나같은 여자를 왜 사랑했는지

왜 떠나야 했는지 어떻게든

우린 다시 사랑해야 해


살다가 널 만나면

모질게 따지고 싶어 힘든 세상에

나홀로 남겨두고 왜 연락 한번 없었느냐고

아무것도 난 해준게 없어 받기만 했을뿐

그래서 미안해 나같은 여자를

왜 사랑했는지 왜 떠나야 했는지

어떻게든 우린 다시 사랑해야해

그땐 너무 어려서 몰랐던 사랑을

이제야 알겠어- 보잘것 없지만

널 위해 남겨둔 내 사랑을 받아줘

어떻게든 우린 다시 사랑해-야해",연락 소식 화장 여자 몇 미안 사랑해 오늘 사랑 한번 그땐 세상 뿐 고치곤해 보잘것 하루 실망할까봐 나홀 아무것 세월
2001,6,박효신,먼곳에서,발라드,"지금 너는 내일을 믿고 있는지
칠흙같은 밤들이 지나고
아무일도 없었던 것처럼
눈을뜨면 새롭게 시작되는 아침을
언젠간 이렇게 될 수 있길 바랬지
너의 슬픔이 모두 끝날 수 있게
잊어버려 그게 너를 위한 일이라면
함께 했던 우리의 약속들을
나는 지금 여기 있어
바로 너의 곁에 있어
그렇지만 너에겐 보이지 않는것일뿐
내가 너를 지켜줄게
더 이상 아프지 않게
이제 나를 잊어버릴 수 있게

언젠간 이렇게 될 수 있길 바랬지
너의 슬픔이 모두 끝날 수 있게
잊어버려 그게 너를 위한 일이라면
함께 했던 우리의 약속들을
나는 지금 여기 있어
바로 너의 곁에 있어
그렇지만 너에겐 보이지 않는것일뿐
내가 너를 지켜줄게
더 이상 아프지 않게
이제 나를 잊어버릴 수 있게
나는 지금 여기 있지
바로 너의 곁에 있지
그렇지만 너에겐 보이지 않는것일뿐
내가 너를 지켜줄게
더 이상 아프지 않게
이제 나를 잊어버릴 수 있게",시작 약속들 뿐 아침 눈을뜨 있길 일 곁 밤 칠흙같 내일 아무일 이상 언젠간
2001,7,핑클 (Fin.K.L),당신은 모르실거야 (CF - LIG 핑클편),발라드,"당신은 모르실 거야
얼마나 사랑했는지
세월이 흘러가면은
그때서 뉘우칠 거야
When a think about feel
about him
I'm not really sure
If I want to
give my heart away
If it's love or just a game
마음이 서글플 때나
초라해 보일때에는
이름을 불러주세요
나 여기 서 있을 게요
두 눈에 넘쳐 흐르는
뜨거운 나의 눈물로
당신의 아픈 마음을
깨끗이 씻어드릴게
당신은 모르실 거야
얼마나 사랑했는지
뒤돌아 봐 주세요
당신의 사랑은 나요
When a think about feel
about him
I'm not really sure
If I want to
give my heart away
If it's love or just a game
두 눈에 넘쳐흐르는
뜨거운 나의 눈물로
당신의 아픈 마음을
깨끗이 씻어드릴게
당신은 모르실 거야
얼마나 사랑했는지
뒤돌아 봐 주세요
당신의 사랑은 나요
당신의 사랑은 나요",눈물 넘쳐흐르 마음 초라해 씻어드릴게 사랑 그때 당신 이름 게요 눈 세월
2001,8,god,길,발라드,"내가 가는 이 길이 어디로 가는지
어디로 날 데려가는지
그곳은 어딘지
알 수 없지만 알 수 없지만
알 수 없지만
오늘도 난 걸어가고 있네
사람들은 길이 다 정해져 있는지
아니면 자기가 자신의 길을
만들어 가는지
알 수 없지만 알 수 없지만
알 수 없지만
이렇게 또 걸어가고 있네
나는 왜 이길에 서 있나
이게 정말 나의 길인가
이 길의 끝에서 내 꿈은 이뤄질까
무엇이 내게 정말 기쁨을 주는지
돈인지 명옌지 아니면
내가 사랑하는 사람들인지
알고 싶지만 알고 싶지만
알고 싶지만
아직도 답을 내릴 수 없네
자신있게 나의 길이라고
말하고 싶고 그렇게 믿고
돌아보지 않고 후회도 하지 않고
걷고 싶지만 걷고 싶지만
걷고 싶지만
아직도 나는 자신이 없네
나는 왜 이 길에 서 있나
이게 정말 나의 길인가
이 길의 끝에서 내 꿈은 이뤄질까
나는 무엇을 꿈꾸는가
그건 누굴 위한 꿈일까
그 꿈을 이루면 난 웃을 수 있을까
오 지금 내가
어디로 어디로 가는 걸까
나는 무엇을 위해
살아야 살아야만 하는가
나는 왜 이 길에 서 있나
이게 정말 나의 길인가
이 길의 끝에서 내 꿈은 이뤄질까
나는 무엇을 꿈꾸는가
그건 누굴 위한 꿈일까
그 꿈을 이루면 난 웃을 수 있을까",사람 후회 답 자기 어디 돈 있을까 누굴 무엇 오늘 사랑 사람들 이길 어딘지 끝 그곳 명옌지 그것 꿈 자신
2001,9,김동률,다시 사랑한다 말할까,발라드,"마치 어제 만난 것처럼
잘있었냔 인사가 무색할 만큼
괜한 우려였는지
서먹한 내가 되려 어색했을까
어제 나의 전활 받고서
밤새 한숨도 못 자 엉망이라며
수줍게 웃는 얼굴
어쩌면 이렇게도 그대로일까
그땐 우리 너무 어렸었다며
지난 얘기들로 웃음짓다가
아직 혼자라는 너의 그 말에
불쑥 나도 몰래 가슴이 시려
다시 사랑한다 말할까
조금 멀리 돌아왔지만
기다려왔다고
널 기다리는게
나에게 제일 쉬운 일이라
시간이 가는 줄 몰랐다고
다시 사랑한다 말할까
여전히 난 부족하지만
받아주겠냐고
널 사랑하는게
내삶에 전부라
어쩔 수 없다고 말야
그땐 사랑인줄 몰랐었다며
가끔 내 소식을 들을때마다
항상 미안했단 너의 그 말에
불쑥 나도 몰래 눈물이 흘러
다시 사랑한다 말할까
언젠가는 내게 돌아올
운명이었다고
널 잊는다는 게
나에게 제일 힘든 일이라
생각 조차 할 수 없었다고
다시 사랑한다 말할까
좋은 친구처럼
편하게 받아주겠냐고
다시 태어나도
널 사랑하는게
내 삶에 이유란 말야
다시 사랑한다 말할까
조금 멀리 돌아왔지만
기다려왔다고
널 기다리는게
나에겐 제일 쉬운 일이라
시간이 가는 줄 몰랐다고
다시 사랑한다 말할까
여전히 난 부족하지만
받아주겠냐고
널 사랑하는게
내삶에 전부라",어색 눈물 무색 우려 소식 시간 삶 인사 얘기들 엉망 일 내삶 이유 어제 미안 전부라 활 가슴 한숨 사랑 친구 서먹한 생각 그땐 부족 얼굴 운명 만큼 전부 잘있었냔 조차
2001,10,양파,Special Night,발라드,"On the special night
I want to tell you
how much I love you

나 그대에게 다 고백할게
아무 약속 없는
친구 사인 너무 힘들어
그냥 말없이 눈 감아요
조심스레 눈뜨면 거짓말처럼
내 모든 걸
사랑하게 되는 운명이죠
On the special night
I want you to know
나 그댈 사랑해요
곁에 있어도 너무 보고 싶어
이런 순간이 다신 없겠죠
My love
나 그대에게 다 감사해요
어두운 내 맘도
우리 행복으로 숨쉬죠
바라만 봐도 좋은 그대
조심스레 꿈 깨면 거짓말처럼
이 모든 게
사라져 버리진 않겠지요
On the special night
I want you to know
나 그댈 사랑해요
먼 훗날 우리 지금 모습처럼
내 안에 그대 영원하겠죠
My love
나 두 번 다시 후횐 않겠죠
그대와 함께라면 이젠
On the special night
I want you to know
나 그댈 사랑해요
곁에 있어도 너무 보고 싶어
이런 순간이 다신 없겠죠
My love",버리진 순간 모습 눈 거짓말 행복 훗날 안 사랑 친구 영원 고백할게 사 곁 운명 감사 이젠 후횐 약속
2001,11,이소라,제발,발라드,"잊지 못해 너를 있잖아
아직도 눈물 흘리며 널 생각해
늘 참지 못하고 투정 부린 것 미안해
나만 원한다고 했잖아
그렇게 웃고 울었던 기억들이
다른 사랑으로 잊혀져
지워지는게 난 싫어
어떻게든 다시 돌아오길 부탁해
처음으로 다시 돌아가길 바랄게
기다릴게 너를 하지만
너무 늦어지면은 안돼
멀어지지마 더 가까이 제발
모든걸 말할수 없잖아
마지막 얘길 할테니 좀 들어봐
많이 사랑하면 할수록
화만 내서 더 미안해
어떻게든 다시 돌아오길 부탁해
처음으로 다시 돌아가길 바랄게
기다릴게 너를 하지만
너무 늦어지면은 안돼
멀어지지마 더 가까이
잊지 말고 다시 돌아오길 부탁해
헤어지면 가슴 아플거라 생각해
기다릴게 너를 하지만
너무 늦어지면은 안돼
멀어지지마 더 가까이 제발
제발 제발",눈물 멀어지지마 부탁 투정 바랄게 부탁해 마지막 미안 얘길 화 가슴 돌아가길 사랑 처음 생각 미안해 모든걸 기억 돌아오길 기다릴게 생각해
2001,12,조규찬,Baby Baby,발라드,"이런 나를 상상할 수 없겠죠
차갑기만 했던 사람이
세상 모든게 의미없는 것처럼
사진 한장에 웃고 우는 모습
그대 없는 내가 나을것 같다며
지쳐 떠나버린 그대
이젠 나 없이도 행복할텐데
해마다 오는 그대의 날엔
그댈 너무 보고싶은걸
baby baby baby
기억하나요
baby my baby
언제나 걷던 그길로
그대 와주면 돼요
오늘이 내게는 오랜 기다림
그대에게는 우연같은 만남 baby
이런 나를 이해할수 없겠죠
바라기만 했던 사람이
아무런 기대없이 이렇게
그댈 멀리서 혼자 바라보는 모습
그대없는 내가 나을것 같다며
지쳐 떠나버린 그대
이젠 나 없이도 행복할텐데
해마다 오는 처음 만난 날엔
그댈 너무 보고싶은걸
baby baby baby
기억하나요
baby my baby
언제나 걷던 그길로
그대 와주면 돼요
오늘이 내게는 오랜 기다림
그대에게는 우연같은 만남 baby
일년에 단 한번만이라 해도
그댈 만날수만 있다면
또다시 일년을 버틸수 있게
오 그럴수 있잖아요
baby baby baby
기억하나요
baby my baby
언제나 걷던 그길로
그대 와주면 돼요
오늘이 내게는 오랜 기다림
그대에게는 우연같은 만남
baby baby baby
기억하나요
baby my baby
언제나 걷던 그길로
그대 와주면 돼요
오늘이 내게는 오랜 기다림
그대에게는 우연같은 만남",한번만 상상 리 의미 일년 사람 모습 그길 오 행복 한장 그대없 이해 오늘 기대 세상 기억 만남 우연 이젠 보고싶은걸
2001,13,성시경,내게 오는 길,발라드,"지금 곁에서 딴 생각에 잠겨
걷고 있는 그대
설레는 마음에 몰래
그대 모습 바라보면서
내 안에 담아요
사랑이겠죠
또 다른 말로는 설명 할 수 없죠
함께 걷는 이 길
다시 추억으로 끝나지않게
꼭 오늘처럼 지켜갈게요
사랑한다는 그 말 아껴둘 걸 그랬죠
이젠 어떻게 내 맘 표현해야 하나
모든 것이 변해가도
이 맘으로 그대 사랑할게요
망설였나요
날 받아주기가 아직 힘든가요
그댈 떠난 사람
그만 잊으려고 애쓰지마요
나 그때까지 기다릴테니
사랑한다는 그 말 아껴둘 걸 그랬죠
이젠 어떻게 내 맘 표현해야 하나
모든 것이 변해가도
이 맘으로 그대 사랑할게요
눈물이 또 남아있다면 모두 흘려버려요
이 좋은 하늘 아래 우리만 남도록
사랑할 수 있나요 내가 다가간만큼
이젠 내게 와줘요 내게 기댄 마음
사랑이 아니라해도 괜찮아요
그댈 볼 수 있으니
괜찮아요 내가 사랑할테니",지켜갈게요 눈물 사람 모습 설명 아니라해 하늘 추억 표현 오늘 안 사랑 생각 하나 마음 곁 아래 만큼 그때 사랑할게요 애쓰지마요 이젠
2001,14,토이 (Toy),좋은 사람 (Feat. 김형중),발라드,"오늘은 무슨일 인거니
울었던 얼굴 같은걸
그가 너의 마음을 아프게 했니
나에겐 세상 젤 소중한 너인데
자판기 커피를 내밀어
그 속에 감춰온 내 맘을 담아
고마워 오빤 너무 좋은 사람이야
그 한마디에 난 웃을뿐
혹시 넌 기억하고 있을까
내 친구 학교 앞에 놀러왔던 날
우리들 연인같다 장난쳤을 때
넌 웃었고 난 밤 지새웠지
네가 웃으면 나도 좋아
넌 장난이라 해도
널 기다렸던 날 널 보고 싶던 밤
내겐 벅찬 행복 가득한데
나는 혼자여도 괜찮아
널 볼 수만 있다면
늘 너의 뒤에서 늘 널 바라보는
그게 내가 가진 몫인것만 같아
친구들 지겹다 말하지
늘 같은 노랠 부르는 나에게
하지만 그게 바로 내 마음인걸
그대 먼곳만 보네요
혹시 넌 그날 내 맘을 알까
우리들 아는 친구 모두 모인 밤
술취한 널 데리러 온 그를 내게
인사시켰던 나의 생일 날
네가 좋으면 나도 좋아
네 옆에 그를 보며
나완 너무 다른 난 초라해지는
그에게 널 부탁한다는 말 밖에
널 울리는 사람과
위로 밖에 못하는 나
네가 웃으면 나도 좋아
넌 장난이라 해도
널 기다렸던 날 널 보고 싶던 밤
내겐 벅찬 행복 가득한데
나는 혼자여도 괜찮아
널 볼수만 있다면 나
늘 너의 뒤에서 늘 널 바라보는
그게 내가 가진 몫인것만 같아",자판기 마음인걸 가득한데 그날 사람 장난 부탁 밖 우리들 인사 행복 몫 소중 뒤 같은걸 나완 젤 먼곳만 밤 옆 연인 오늘 혼자 친구들 생일 친구 커피 세상 오빤 뿐 기억 학교 얼굴 마음 무슨일 초라 내겐 노랠 한마디
2001,15,김범수,하루,발라드,"사랑이 날 또 아프게해요
사랑이 날 또 울게 하네요
다시는 못쓰게 된 내 가슴은
이렇게 아픈데
사랑은 잔인하게 떠나가네요
정말 내가 괜찮을까요
그대가 한 그 인사처럼
그래 그댄 눈 가린채
모르는 척 떠나는게
차라리 편할 테죠
변할 수도 있을 거에요
저 바람도 매일이 다른데
그래도 이 세상에
살고 싶단 행복을 준건
너무나도 고마웠어요
사랑이 날 또 아프게해요
사랑이 날 또 울게 하네요
그렇게 사랑했던
추억마저 잊어달라며
사랑은 잔인하게 떠나가네요
잊을 수도 있을거예요
그대처럼 나도 변하겠죠
하지만 그날까지
내가 어찌 살아낼까요
벌써 그댈 보고 싶어요
사랑이 날 또 아프게해요
사랑이 날 또 울게 하네요
그렇게 사랑했던
추억마저 잊어달라며
사랑은 잔인하게 떠나가네요
이렇게 또 하루가
지나가네요
남겨진 모든 걸 가져가줘요
참을 수가 없는 아픔도 기억도
사랑이 날 또 아프게 하네요
사랑이 날 또 울게 하네요
다시는 못쓰게된 내 가슴은
이렇게 아픈데
사랑은 꿈을 깨듯 허무하네요
이렇게 또 하루가 지나가네요",허무 그댄 눈 잊어달라 준건 인사 잔인 채 행복 매일 추억 가슴 사랑 있을거예요 세상 테 기억 하루 그날 꿈
2001,16,임재범,사진속에 담긴 추억,발라드,"나의 기억속에 남겨진
그대 모습
이젠 정말 잊어야만해
흘러만 가는 시간처럼
그대 그리움이
안타까운 마음만 주네
소리없는 슬픔만
나의 맘에 쌓이고
희미해진 불빛속에
떠나버린 그대여
내 사랑 나의 사랑
어둠이 다가오네
눈 감으면 그대가
내 곁에 있는데
멀리 떠나갔지만
그대만을 사랑해
사진 속에 담긴 추억들도
이젠 잊어야만 해

이젠 이별뒤에 남겨둔
슬픈 사랑
나의 웃음 흩어져가네
아득하게만 느껴지는
그대 마음처럼
모든것이 멀어만지네
소리없는 슬픔만
나의 맘에 쌓이고
희미해진 불빛속에
떠나버린 그대여
내 사랑 나의 사랑
어둠이 다가오네
눈 감으면 그대가
내 곁에 있는데
멀리 떠나갔지만
그대만을 사랑해
사진 속에 담긴 추억들도
이젠 잊어야만해",소리 아득 모습 모든것 눈 시간 웃음 잊어야만해 추억들 어둠 사랑해 사랑 지 마음 곁 불빛속 기억속 이별뒤 그리움 이젠 희미
2001,17,YB (윤도현 밴드),내게 와 줘,록/메탈,"햇살처럼 눈부시게
내 마음에 쏟아지는
아름다운 그녀 모습
내 마음을 설레게 해
혹시 오늘 아침에도
그녈 만날 수 있을까
그럼 이제 용기를 내서
한번 말을 걸어볼까
아침마다 항상 힘들게
눈을 뜨던 나를 이제
달콤하게 깨우는
그녀 생각
자꾸 자꾸
웃음이 나와
나의 마음속의 그녀
내 맘을 간지럽히나봐
태연한 척 애써봐도
내 가슴을 뛰게 하는
아름다운 그녀 모습
점점 다가오고 있네
오늘은 꼭 그녀에게
좋아한다 말해야지
무슨말을 먼저할까
어떤 표정을 지을까
하지만 내곁을 무심히
스쳐 지나가는 그녀
다른 남자품으로
달려가네
한낱 꿈에 불과했었나
그녀를 원한 나의 마음
또 다시
무참히 깨지네
어디있나 내 사랑은
언제까지
외롭게 날
기다리게 할까

어디있나 내 사랑은
언제까지
외롭게 날
기다리게 할까
누구일까 내 사랑은
언제까지
외롭게 날
기다리게 할까
Oh oh
oh oh oh oh
이젠 나도
사랑하고 싶어
Oh oh
oh oh oh oh
어디있나
이젠 내게와줘",간지럽히나봐 태연한 표정 내곁 모습 눈 달콤 누구 햇살 웃음 어디있나 무슨말 그녀 가슴 오늘 사랑 한번 생각 그녈 아침 마음 언제 불과 먼저할까 이젠 용기 마음속 꿈 남자품
2001,18,윤미래,시간이 흐른 뒤 (As Time Goes By),R&B/Soul,"마지못해 살아가겠지 너 없이도
매일 아침 이렇게 일어나
밤새 조금씩 더
무뎌져 버린 기억속에서
애써 너의 얼굴을 꺼내어 보겠지
시간이란 누구에게나 느린
아픔을 주는지 우
힘든 하루 속에도
늘 니 생각뿐인 난
눈물마저도 말라가는데
as time goes by
난 그게 두려운 걸
니 안에서 나의 모든 게
없던 일이 될까봐 우
눈 감으면 늘 선명하던 니가
어느 순간 사라질까봐
정말 겁이나는 걸
이별이란 서로에게서
지워지는 거라지만 우
많은 사람속에도 늘
니 걱정 뿐인 나
시간마저도 붙잡고 싶은데
as time goes by
난 그게 두려운 걸
니 안에서 나의 모든 게
없던 일이 될까봐 우
눈 감으면 늘 선명하던 니가
어느 순간 사라지게 될까봐
내가 없는 세상이
너는 괜찮은 건지
너에게 잊을만한 추억일 뿐인지
참으려 애를 써도 늘 보고픈 나는
니가 아니면 안될 것 같은데
you're the one as time goes by
난 여기 있어줄게
셀 수 없는 밤이 지나도
사랑했던 그대로 우
혹시라도 너 돌아 오게 되면
단 한번에 나를 찾을 수 있게
as time goes by",순간 눈물 걱정 될까봐 눈 보고픈 시간 누구 일 추억 조금씩 밤 사람속 안 사랑 한번 이별 생각 세상 뿐 아침 얼굴 하루 선명 만 겁 기억속 애 사라질까봐 서로
2001,19,최재훈,편지 (Original Ver.),발라드,"내 영혼이 내 몸을 벗고 자유롭게 될거야
그럼 나의 사랑도 힘든 세상에다 두고 갈거야
그림자로 살아갈 만큼 강한 내가 아니야
널 갖지 못한 나 슬픔이 많던 나 모두 함께 태워 뿌려줘
널 처음 본 날 영화처럼 스쳐가 내 운명을 돌려놓은 그날이
이 세상은 감히 널 선택한 벌이 었나봐
니가 없는 곳에 태어날거야 워~
깨우지마 널 잊게 될테니 가엾은 날 너무 욕하지는마
내가 너로 인해 떠났다고 힘들어도마 그저 새로 시작하고 싶었어
사랑했어 그래서 내가 미치기 전에
멈춰야만 했어 나도 내 사랑이 힘에 겨워서
널 처음 본 날 영화처럼 스쳐가 내 운명을 돌려놓은 그날이
이 세상은 감히 널 선택한 벌이 었나봐
니가 없는 곳에 태어날거야 워~
깨우지마 널 잊게 될테니 가엾은 날 너무 욕하지는마
내가 너로 인해 떠났다고 힘들어도마 그저 새로 시작하고 싶었어
사랑했어 그래서 내가 미치기 전에 멈춰야만 했어 나를
널 다치게 할까봐 끝도 없이 달릴 사랑때문에
이젠 멈춰진 거야 나도 내 사랑도 정말 힘에 겨웠어",시작 깨우지마 갈거야 힘 할까봐 영혼 사랑때문 겨워서 겨웠어 그림자 었나봐 영화 힘들어도마 사랑 벌 세상 태어날거 몸 운명 선택 될거야 전 만큼 끝 욕하지는마 이젠 자유 그날
